"Average price data (in U.S. dollars), selected items",,,,,,,,,,,
Month,"Bananas, per lb.","Oranges, Navel, per lb.","Bread, white, pan, per lb.","Tomatoes, field grown, per lb.","Chicken, fresh, whole, per lb.",Electricity per KWH,"Eggs, grade A, large, per doz.","Gasoline, unleaded regular, per gallon","Ground chuck, 100% beef, per lb.",Utility (piped) gas per therm,"Milk, fresh, whole, fortified, per gal."
Aug-04,0.507,,0.996,1.312,1.092,0.1,1.277,1.898,2.537,1.063,3.297
Sep-04,0.488,1.142,0.985,1.321,1.078,0.099,1.145,1.891,2.512,1.034,3.149
Oct-04,0.485,,0.972,1.715,1.078,0.094,1.089,2.029,2.484,1.044,3.161
Nov-04,0.469,1.08,0.976,2.337,1.039,0.092,1.085,2.01,2.461,1.145,3.219
Dec-04,0.474,0.865,0.97,2.467,1.03,0.092,1.199,1.882,2.465,1.154,3.233
Jan-05,0.485,0.838,0.997,1.66,1.026,0.094,1.211,1.823,2.478,1.142,3.304
Feb-05,0.502,0.802,0.982,1.428,1.038,0.094,1.284,1.918,2.531,1.111,3.176
Mar-05,0.507,0.783,1.002,1.548,1.061,0.094,1.132,2.065,2.519,1.096,3.226
Apr-05,0.503,0.816,1.004,1.71,1.07,0.095,1.164,2.283,2.504,1.158,3.225
May-05,0.497,0.899,1.086,1.911,1.052,0.097,1.185,2.216,2.572,1.152,3.207
Jun-05,0.493,1.012,1.09,1.655,1.075,0.104,1.139,2.176,2.542,1.124,3.122
Jul-05,0.494,,1.067,1.607,1.067,0.105,1.165,2.316,2.541,1.168,3.09
Aug-05,0.487,,1.06,1.416,1.042,0.105,1.166,2.506,2.502,1.189,3.136
Sep-05,0.485,1.363,1.052,1.429,1.056,0.106,1.279,2.927,2.535,1.324,3.133
Oct-05,0.491,1.388,1.043,1.547,1.062,0.102,1.264,2.785,2.564,1.512,3.171
Nov-05,0.48,1.172,1.055,1.574,1.059,0.102,1.279,2.343,2.568,1.548,3.211
Dec-05,0.482,0.885,1.046,1.848,1.061,0.102,1.35,2.186,2.606,1.498,3.241
Jan-06,0.49,0.837,1.046,2.162,1.062,0.108,1.449,2.315,2.607,1.531,3.197
Feb-06,0.508,0.915,1.029,1.91,1.045,0.108,1.328,2.31,2.556,1.402,3.224
Mar-06,0.508,0.888,1.04,1.649,1.047,0.109,1.302,2.401,2.568,1.335,3.161
Apr-06,0.508,0.876,1.072,1.573,1.054,0.109,1.283,2.757,2.599,1.278,3.123
May-06,0.514,0.99,1.086,1.543,1.034,0.11,1.206,2.947,2.508,1.263,3.066
Jun-06,0.511,1.119,1.074,1.457,1.055,0.118,1.242,2.917,2.543,1.21,3.001
Jul-06,0.508,1.27,1.071,1.479,1.04,0.118,1.213,2.999,2.459,1.213,3.083
Aug-06,0.492,,1.088,1.488,1.048,0.118,1.244,2.985,2.543,1.22,3.019
Sep-06,0.479,1.483,1.083,1.908,1.063,0.118,1.254,2.589,2.508,1.239,3.049
Oct-06,0.489,1.423,1.097,2.188,1.038,0.112,1.257,2.272,2.542,1.148,3.064
Nov-06,0.498,1.2,1.143,1.784,1.049,0.11,1.354,2.241,2.564,1.252,2.985
Dec-06,0.499,0.958,1.137,1.639,1.057,0.11,1.543,2.334,2.606,1.285,3.004
Jan-07,0.505,1.092,1.153,1.621,1.033,0.113,1.549,2.274,2.63,1.265,3.067
Feb-07,0.507,1.375,1.168,1.644,1.039,0.113,1.746,2.285,2.639,1.267,3.083
Mar-07,0.51,1.301,1.161,1.555,1.064,0.113,1.634,2.592,2.628,1.291,3.072
Apr-07,0.517,1.243,1.201,1.63,1.115,0.113,1.616,2.86,2.676,1.284,3.135
May-07,0.503,1.268,1.192,1.685,1.118,0.115,1.504,3.13,2.766,1.288,3.259
Jun-07,0.512,1.321,1.193,1.51,1.134,0.122,1.373,3.052,2.739,1.299,3.427
Jul-07,0.509,,1.209,1.486,1.13,0.122,1.502,2.961,2.734,1.279,3.736
Aug-07,0.506,1.5,1.21,1.485,1.145,0.121,1.634,2.782,2.695,1.226,3.807
Sep-07,0.505,1.503,1.212,1.496,1.142,0.121,1.825,2.789,2.744,1.207,3.841
Oct-07,0.508,1.542,1.274,1.649,1.135,0.117,1.771,2.793,2.705,1.219,3.838
Nov-07,0.515,1.079,1.235,1.851,1.161,0.115,1.862,3.069,2.738,1.273,3.904
Dec-07,0.525,0.905,1.28,2.147,1.166,0.115,2.099,3.02,2.702,1.281,3.87
Jan-08,0.521,0.905,1.281,2.032,1.163,0.116,2.175,3.047,2.725,1.278,3.871
Feb-08,0.54,0.887,1.321,1.735,1.159,0.116,2.168,3.033,2.791,1.31,3.869
Mar-08,0.597,0.898,1.35,1.835,1.168,0.116,2.203,3.258,2.832,1.358,3.781
Apr-08,0.627,0.931,1.373,1.773,1.176,0.118,2.069,3.441,2.829,1.427,3.799
May-08,0.63,1.008,1.37,1.675,1.194,0.12,1.93,3.764,2.798,1.505,3.76
Jun-08,0.633,1.136,1.373,1.814,1.181,0.128,1.92,4.065,2.835,1.578,3.773
Jul-08,0.627,1.291,1.384,1.713,1.191,0.131,2.011,4.09,2.785,1.703,3.961
Aug-08,0.634,1.452,1.381,1.694,1.223,0.132,1.854,3.786,2.964,1.596,3.886
Sep-08,0.631,1.471,1.379,1.591,1.214,0.13,1.978,3.698,2.981,1.448,3.773
Oct-08,0.629,1.428,1.393,1.611,1.205,0.126,1.858,3.173,2.956,1.395,3.656
Nov-08,0.626,1.055,1.377,1.722,1.304,0.123,1.838,2.151,2.987,1.372,3.734
Dec-08,0.617,0.934,1.415,1.734,1.305,0.124,1.834,1.689,2.999,1.355,3.681
Jan-09,0.629,0.896,1.381,1.661,1.292,0.126,1.85,1.787,2.961,1.321,3.575
Feb-09,0.641,0.912,1.404,1.556,1.29,0.126,1.795,1.928,3.019,1.268,3.319
Mar-09,0.634,0.889,1.41,1.511,1.301,0.126,1.693,1.949,2.976,1.208,3.116
Apr-09,0.629,0.91,1.395,1.591,1.296,0.125,1.774,2.056,2.994,1.119,3.084
May-09,0.622,0.963,1.413,1.584,1.304,0.126,1.501,2.265,2.876,1.051,3.068
Jun-09,0.617,1.06,1.385,1.604,1.282,0.132,1.529,2.631,2.873,1.06,3.009
Jul-09,0.616,1.191,1.391,1.618,1.261,0.131,1.495,2.543,2.8,1.074,2.992
Aug-09,0.611,1.222,1.375,1.528,1.287,0.13,1.632,2.627,2.843,1.058,2.979
Sep-09,0.605,1.255,1.34,1.538,1.258,0.13,1.627,2.574,2.782,1.028,2.981
Oct-09,0.598,1.262,1.392,1.595,1.244,0.126,1.595,2.561,2.785,1.048,3.046
Nov-09,0.561,1.113,1.373,1.726,1.256,0.124,1.705,2.66,2.797,1.11,3.034
Dec-09,0.571,0.932,1.39,1.961,1.267,0.124,1.772,2.621,2.828,1.105,3.105
Jan-10,0.586,0.899,1.36,1.837,1.265,0.124,1.789,2.731,2.825,1.155,3.236
Feb-10,0.587,0.87,1.361,1.765,1.265,0.123,1.872,2.659,2.881,1.161,3.203
Mar-10,0.575,0.858,1.368,2.007,1.231,0.125,1.822,2.78,2.824,1.137,3.188
Apr-10,0.58,0.871,1.363,2.132,1.23,0.126,1.779,2.858,2.89,1.091,3.14
May-10,0.571,0.952,1.359,1.918,1.259,0.127,1.523,2.869,2.921,1.08,3.178
Jun-10,0.577,1.096,1.383,1.586,1.239,0.132,1.494,2.736,2.965,1.084,3.297
Jul-10,0.583,1.149,1.36,1.544,1.28,0.133,1.441,2.736,2.936,1.111,3.313
Aug-10,0.576,1.242,1.372,1.405,1.254,0.133,1.519,2.745,2.849,1.102,3.303
Sep-10,0.573,1.302,1.386,1.503,1.276,0.132,1.753,2.704,2.915,1.062,3.278
Oct-10,0.58,1.281,1.407,1.502,1.302,0.127,1.456,2.795,2.978,1.069,3.321
Nov-10,0.581,1.2,1.375,1.519,1.277,0.125,1.675,2.852,2.949,1.059,3.327
Dec-10,0.587,1.021,1.386,1.591,1.28,0.125,1.793,2.985,2.932,1.078,3.318
Jan-11,0.596,1.052,1.401,1.59,1.241,0.125,1.806,3.091,2.991,1.085,3.301
Feb-11,0.625,0.989,1.398,1.832,1.266,0.125,1.708,3.167,3.058,1.095,3.357
Mar-11,0.621,0.957,1.415,2.086,1.269,0.127,1.732,3.546,3.151,1.077,3.503
Apr-11,0.621,0.926,1.42,2.27,1.261,0.127,1.727,3.816,3.25,1.078,3.597
May-11,0.617,0.916,1.472,1.794,1.302,0.129,1.692,3.933,3.277,1.068,3.653
